Keyword,	Link,	 Title
gene,	https://en.wikipedia.org/wiki/Gene_Simmons,Gene Simmons - Wikipedia
gene,	https://en.wikipedia.org/wiki/Gene_(band),Gene (band) - Wikipedia
gene,	https://en.wikipedia.org/wiki/Gene_Wilder,Gene Wilder - Wikipedia
gene,	https://en.wikipedia.org/wiki/Gene_Autry,Gene Autry - Wikipedia
gene,	https://en.wikipedia.org/wiki/Gene_Hackman,Gene Hackman - Wikipedia
gene,	https://en.wikipedia.org/wiki/Gene_drive,Gene drive - Wikipedia
gene,	https://en.wikipedia.org/wiki/Regulation_of_gene_expression,Regulation of gene expression - Wikipedia
gene,	https://en.wikipedia.org/wiki/Gene_duplication,Gene duplication - Wikipedia
gene,	https://en.wikipedia.org/wiki/Gene_flow,Gene flow - Wikipedia
gene,	https://en.wikipedia.org/wiki/Horizontal_gene_transfer,Horizontal gene transfer - Wikipedia
gene,	https://en.wikipedia.org/wiki/Gene_regulatory_network,Gene regulatory network - Wikipedia
gene,	https://en.wikipedia.org/wiki/IBM_Blue_Gene,IBM Blue Gene - Wikipedia
gene,	https://en.wikipedia.org/wiki/Gene_Ontology,Gene Ontology - Wikipedia
gene,	https://en.wikipedia.org/wiki/Gene_Krupa,Gene Krupa - Wikipedia
gene,	https://en.wikipedia.org/wiki/Gene_Clark,Gene Clark - Wikipedia
gene,	https://en.wikipedia.org/wiki/Gene_Pitney,Gene Pitney - Wikipedia
gene,	https://en.wikipedia.org/wiki/Gene_Tierney,Gene Tierney - Wikipedia
gene,	https://en.wikipedia.org/wiki/Gene_Sharp,Gene Sharp - Wikipedia
gene,	https://en.wikipedia.org/wiki/Gene_Wolfe,Gene Wolfe - Wikipedia
gene,	https://en.wikipedia.org/wiki/Gene_Robinson,Gene Robinson - Wikipedia
gene,	https://en.wikipedia.org/wiki/Gene_product,Gene product - Wikipedia
gene,	https://en.wikipedia.org/wiki/Gene_Markey,Gene Markey - Wikipedia
gene,	https://en.wikipedia.org/wiki/Gene_Spafford,Gene Spafford - Wikipedia
gene,	https://en.wikipedia.org/wiki/Gene_Amdahl,Gene Amdahl - Wikipedia
gene,	https://en.wikipedia.org/wiki/Gene_Vincent,Gene Vincent - Wikipedia
